route,primary_query_or_topic,primary_intent,supporting_questions,unique_value,next_action,indexability,evidence
/dunkin-healthy-breakfast-macros.html,Healthy Dunkin’ meals,Healthy Dunkin’ meals,Find your meal; Dunkin’ orders by goal; How to order at Dunkin’; Menu sources; More nutrition guides; Compare another restaurant,"Specific tracked U.S. orders, included ingredients, nutrition table and official chain sources",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/editorial-policy.html,Editorial policy,Editorial policy,Who publishes GetMacros?; Where do the facts come from?; What makes a page worth keeping?; Updates and corrections; What this site cannot do,"Publisher-specific methods, commitments or operational disclosures",Contact GetMacros: /contact.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/fats.html,What does fat do in your body?,What does fat do in your body?,Why do you need fat?; Which fats should you choose?; How much fat should you eat?; Does dietary fat affect hormones?; Easy ways to include fat; Sources,"Source-linked explanation: Fat provides energy, essential fatty acids and help absorbing vitamins A, D, E and K. Both the type and amount matter.","Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/healthy-fast-food.html,Healthy fast food,Healthy fast food,Start with a number.; Find an order for your goal,"Compare 83 U.S. menu options for more protein, fewer calories or a bigger meal.",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/high-protein-foods-list.html,Find high-protein foods,Find high-protein foods,"Meat, fish, eggs & dairy; Plant-based foods",Pick foods for your meals. Each card shows protein in a typical portion.,Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/how-many-calories-should-i-eat-a-day.html,How many calories should I eat a day?,How many calories should I eat a day?,"What changes the calculator’s answer?; Start with your maintenance calories; Choose an activity level; Adjust for your goal; How do you know if the estimate is right?; Is 1,200 calories enough?; Should you add exercise calories back?; Sources","Source-linked explanation: There is no single calorie target for everyone. Your body size, age, activity and goal help estimate a starting point.","Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/how-much-fiber-per-day.html,How much fiber do you need per day?,How much fiber do you need per day?,How much should you aim for?; Which foods make it easier?; Does the type of fiber matter?; How can you get more fiber when eating out?; Increase it gradually; Sources,"Source-linked explanation: Fiber helps with digestion and can support heart health. Beans, whole grains, fruit, vegetables, nuts and seeds are practical ways to get more.","Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/how-much-protein-can-your-body-absorb.html,How much protein can your body absorb at once?,How much protein can your body absorb at once?,The short answer; Three questions that get collapsed into one; What absorption actually means; Where the 20–30 gram idea came from; What the 100-gram study changed; Daily protein still matters more than perfect timing; Is spreading protein across meals better?; What should you do in real life?; Sources and limitations; What to take away,"Source-linked explanation: Your body can absorb more than 30 grams at a meal. Here is how absorption differs from muscle growth, and what that means for planning meals.","Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/how-much-protein-per-day.html,How much protein do you need per day?,How much protein do you need per day?,The short answer; What does the protein RDA mean?; How do you calculate your target?; How much protein should you eat per meal?; When a general range is not enough; Sources,"Source-linked explanation: Your protein needs depend on your body size, training and health. Use these ranges as a starting point, then choose foods that make the target practical.","Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/how-much-sodium-per-day.html,How much sodium should you have per day?,How much sodium should you have per day?,What are the general limits?; Is sodium the same as salt?; How do you read sodium on a label?; How do you choose a lower-sodium restaurant meal?; Does water cancel out a salty meal?; Sources,"Source-linked explanation: Packaged foods and restaurant meals can contain a lot of sodium. Check the whole portion, then compare options that fit the meal you want.","Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/how-to-build-a-balanced-meal-with-macros.html,How to build a balanced meal with macros,How to build a balanced meal with macros,"A four-part meal template; 1. Choose a protein anchor; 2. Add carbohydrate for energy and satisfaction; 3. Add produce for volume, fiber and variety; 4. Use fat and flavor on purpose; Adjust the same meal for three goals; Five meals built from the template; Sources and evidence","Source-linked explanation: Use macros to shape the meal, not to turn dinner into an accounting exercise.","Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/how-to-calculate-macros-by-hand.html,How to calculate your macros by hand,How to calculate your macros by hand,1. Estimate resting energy; 2. Account for activity and your goal; 3. Set protein; 4. Set fat; 5. Work out the remaining carbs; What if the numbers do not fit?; Sources,"Source-linked explanation: Estimate daily calories first, then convert protein, fat and carbs into grams. This worked example explains the arithmetic behind a macro plan.","Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/how-to-calculate-maintenance-calories.html,How to calculate maintenance calories,How to calculate maintenance calories,Maintenance calories are an average; Method 1: start with an equation; Method 2: use your own trend; When should the estimate change?; A practical example; Sources and evidence,Source-linked explanation: A formula gives you a starting point. Your own consistent data turns it into a useful target.,"Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/how-to-calculate-recipe-nutrition.html,How to calculate nutrition for a homemade recipe,How to calculate nutrition for a homemade recipe,Step 1: record ingredients as used; Step 2: calculate the batch total; Step 3: measure finished yield; Step 4: calculate a portion; Common mistakes; Make the work reusable; Sources and further reading,"Source-linked explanation: The reliable way to estimate a homemade recipe is to calculate the whole batch first, then divide it by the finished yield or the number of equal portions.","Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/how-to-eat-out-without-wrecking-your-goal.html,How to eat out while working toward your goals,How to eat out while working toward your goals,Build the comparison around your whole order; Choose what you want from the meal; Compare the whole order; Swaps that can help; What if the restaurant has no nutrition information?; For weight loss or muscle gain; Sources,"Source-linked explanation: You can enjoy a restaurant meal while working on weight loss, muscle gain or everyday nutrition. Start with the whole order and a goal that matters to you.","Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/how-to-hit-protein-goal-on-budget.html,How to hit your protein goal on a budget,How to hit your protein goal on a budget,"Start with your target, not a shopping list; Use cost per gram without letting it run the whole diet; Choose a few affordable staples; A shopping method that survives price changes; Three simple meal ideas; Where budget advice goes wrong; Sources and evidence","Source-linked explanation: Compare the cost per gram of protein, along with portion size and the food you expect to use.","Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/how-to-read-a-nutrition-label.html,How to read a nutrition label,How to read a nutrition label,"Compare the portion, not just the label; 1. Check the serving and the package; 2. Read the nutrients you care about; 3. Use % Daily Value as a quick guide; 4. Compare the same amount; 5. Check ingredients and allergens; Why don’t the numbers always add up?; Sources","Source-linked explanation: Start with the serving size, then check the nutrients in the amount you will eat. This guide follows the U.S. Nutrition Facts label.","Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/index.html,healthy fast food meal finder,A little less guessing. A meal that fits.,What matters for this meal?; See what’s on the menu.; Start with your daily macros.; Choose a restaurant.; From a preference to an order.; Useful things to know.,Healthy fast-food meal finder,Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/jersey-mikes-healthy-subs-macros.html,Healthy Jersey Mike’s meals,Healthy Jersey Mike’s meals,Find your meal; Jersey Mike’s orders by goal; How to order at Jersey Mike’s; Menu sources; More nutrition guides; Compare another restaurant,"Specific tracked U.S. orders, included ingredients, nutrition table and official chain sources",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/kfc-healthy-meals-macros.html,Healthy KFC meals,Healthy KFC meals,Find your meal; KFC orders by goal; How to order at KFC; Menu sources; More nutrition guides; Compare another restaurant,"Specific tracked U.S. orders, included ingredients, nutrition table and official chain sources",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/macros-for-muscle-gain.html,How to set your macros for muscle gain,How to set your macros for muscle gain,Do you need a calorie surplus?; How much protein helps?; Keep room for carbs and fat; A sample calculation; How do you know whether it is working?; Do you need supplements?; Sources,"Source-linked explanation: Muscle gain depends on training, enough food and recovery. A useful macro plan supports those things without turning every meal into a calculation.","Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/macros-for-weight-loss.html,How to set your macros for weight loss,How to set your macros for weight loss,Start with calories; Keep protein in the plan; Choose your carbs and fat; One worked example; What if your weight is not changing?; Do carbs have to be low?; Sources,"Source-linked explanation: Start with a manageable calorie target, include enough protein, and choose a balance of carbs and fat you can keep eating comfortably.","Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/mcdonalds-healthy-meals-macros.html,Healthy McDonald’s meals,Healthy McDonald’s meals,Find your meal; McDonald’s orders by goal; How to order at McDonald’s; Menu sources; More nutrition guides; Compare another restaurant,"Specific tracked U.S. orders, included ingredients, nutrition table and official chain sources",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/nutrition-label-comparison-tool.html,Compare two food labels,Compare two food labels,First food; Second food; Your comparison; Same food amount. Fairer comparison.,"Working numeric inputs, units, validation, results and method notes",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/panda-express-healthy-meals-macros.html,Healthy Panda Express meals,Healthy Panda Express meals,Find your meal; Panda Express orders by goal; How to order at Panda Express; Menu sources; More nutrition guides; Compare another restaurant,"Specific tracked U.S. orders, included ingredients, nutrition table and official chain sources",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/panera-healthy-meals-macros.html,Healthy Panera meals,Healthy Panera meals,Find your meal; Panera orders by goal; How to order at Panera; Menu sources; More nutrition guides; Compare another restaurant,"Specific tracked U.S. orders, included ingredients, nutrition table and official chain sources",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/popeyes-healthy-meals-macros.html,Healthy Popeyes meals,Healthy Popeyes meals,Find your meal; Popeyes orders by goal; How to order at Popeyes; Menu sources; More nutrition guides; Compare another restaurant,"Specific tracked U.S. orders, included ingredients, nutrition table and official chain sources",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/privacy.html,Privacy policy,Privacy policy,What we don't collect; What's stored in your browser; Shared meal-finder links; Hosting and basic logs; Traffic measurement; Advertising; Children's privacy; Changes to this policy,"Publisher-specific methods, commitments or operational disclosures",Contact GetMacros: /contact.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/protein-value-calculator.html,Protein Cost per Gram Calculator,Protein Cost per Gram Calculator,The cheaper package is not always better value,"Working numeric inputs, units, validation, results and method notes",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/protein.html,What does protein do in your body?,What does protein do in your body?,What is protein made of?; Does eating protein build muscle?; How much do you need?; Which foods contain protein?; What if you are not getting enough?; Sources,"Source-linked explanation: Protein helps build and repair tissues, including muscle. Your body also uses it to make enzymes, hormones and antibodies.","Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/recipe-macro-scaler.html,Calories per recipe portion,Calories per recipe portion,"Per new portion; One recipe, two ways to change it","Working numeric inputs, units, validation, results and method notes",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/restaurant-meal-finder.html,find high protein fast food meals,Find healthy fast food meals,What’s your goal?,83 tracked orders; actual nutrient limits; explicit missing data; side-by-side comparison,Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/restaurant-meal-guides.html,Restaurant meal guides,Restaurant meal guides,Not sure where to eat?,"Pick a restaurant. Compare U.S. menu options, calories, protein and ordering tips.",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/search.html,On-site search; not a keyword landing page,What would you like help with?,Matching restaurant meals; Choose a starting point; Browse by topic; Healthy fast food; Tools; Macros and goals; Labels and recipes; Protein and food; Trust; Site; Eating out; Featured guides; Nutrients to watch; Training and everyday eating,Showing 12 of 71 pages,Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/serving-size-vs-portion-size.html,Serving size vs. portion size: what is the difference?,Serving size vs. portion size: what is the difference?,"A 30 g serving, a 45 g portion; The distinction in one sentence; Use a ratio, not a guess; Why serving sizes differ between similar foods; Dual-column labels and whole packages; A practical way to use the label; Sources and further reading","Source-linked explanation: A serving size is the standardized amount used on a label. A portion is the amount you actually choose, receive, or eat. Those two amounts can match, but they do not have to.","Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/sodium-label-comparison-tool.html,Sodium calculator,Sodium calculator,Compare two foods; Your results; Compare the portion you will eat,"Working numeric inputs, units, validation, results and method notes",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/sources.html,Nutrition sources and calculation methods,Nutrition sources and calculation methods,Restaurant data and rankings; Protein; Fat; Carbohydrates; Calculator formulas; How sources become articles,"Publisher-specific methods, commitments or operational disclosures",Contact GetMacros: /contact.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/starbucks-healthy-food-meals-macros.html,Healthy Starbucks meals,Healthy Starbucks meals,Find your meal; Starbucks orders by goal; How to order at Starbucks; Menu sources; More nutrition guides; Compare another restaurant,"Specific tracked U.S. orders, included ingredients, nutrition table and official chain sources",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/subway-healthy-meals-macros.html,Healthy Subway meals,Healthy Subway meals,Find your meal; Subway orders by goal; How to order at Subway; Menu sources; More nutrition guides; Compare another restaurant,"Specific tracked U.S. orders, included ingredients, nutrition table and official chain sources",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/sweat-rate-calculator.html,Sweat rate calculator,Sweat rate calculator,Your workout; Your results; A worked workout example,"Working numeric inputs, units, validation, results and method notes",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/sweetgreen-healthy-meals-macros.html,Healthy Sweetgreen meals,Healthy Sweetgreen meals,Find your meal; Sweetgreen orders by goal; How to order at Sweetgreen; Menu sources; More nutrition guides; Compare another restaurant,"Specific tracked U.S. orders, included ingredients, nutrition table and official chain sources",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/taco-bell-healthy-meals-macros.html,Healthy Taco Bell meals,Healthy Taco Bell meals,Find your meal; Taco Bell orders by goal; How to order at Taco Bell; Menu sources; More nutrition guides; Compare another restaurant,"Specific tracked U.S. orders, included ingredients, nutrition table and official chain sources",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/terms.html,Terms of use,Terms of use,"Acceptance of these terms; Educational content, not advice; Intellectual property; Third-party links and advertising; No warranty; Changes to these terms","Publisher-specific methods, commitments or operational disclosures",Contact GetMacros: /contact.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/weight-goal-timeline-calculator.html,Weight goal timeline,Weight goal timeline,Your weight goal; Your results; What does a weekly percentage mean?,"Working numeric inputs, units, validation, results and method notes",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/wendys-healthy-meals-macros.html,Healthy Wendy’s meals,Healthy Wendy’s meals,Find your meal; Wendy’s orders by goal; How to order at Wendy’s; Menu sources; More nutrition guides; Compare another restaurant,"Specific tracked U.S. orders, included ingredients, nutrition table and official chain sources",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/what-are-macros.html,What are macros?,What are macros?,What each macro does; Calories vs. macros; How do you work out your macros?; A simple example; Do you need to count macros?; Sources,"Source-linked explanation: Macros are protein, carbohydrates and fat. They provide energy and help your body work. Here is what the numbers mean when you plan a meal.","Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/what-is-a-calorie-deficit.html,What is a calorie deficit?,What is a calorie deficit?,"The plain-language definition; How to estimate a starting deficit; Why the simple 3,500-calorie rule falls short; Signs the plan may be too aggressive; Judge the plan by more than the scale; Sources and evidence","Source-linked explanation: Understand what a calorie deficit means, how it is estimated and why weight changes over time.","Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/what-to-eat-after-a-workout.html,What to eat after a workout,What to eat after a workout,Build the meal around the recovery job; How soon do you need to eat?; What belongs on the plate?; Six meals that make the idea concrete; Recovery mistakes worth avoiding; Sources and evidence,Source-linked explanation: Plan your next meal around the workout and how soon you will train again.,"Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/what-to-eat-before-a-workout.html,What to eat before a workout,What to eat before a workout,"The simple answer; Carbs, protein and fat play different roles; Match the food to the session; A repeatable way to choose; Sources and evidence",Source-linked explanation: Choose familiar food and a portion that feels comfortable before training.,"Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/when-to-recalculate-calories-and-macros.html,When should you recalculate calories and macros?,When should you recalculate calories and macros?,Your target was always an estimate; Five good reasons to recalculate; What does not justify a new target?; A simple review schedule; Why needs can fall during weight loss; Sources and evidence,Source-linked explanation: Update the target when the inputs or the trend have changed enough to matter.,"Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/why-did-i-gain-weight-overnight.html,Why did I gain weight overnight?,Why did I gain weight overnight?,The scale measures more than body fat; Six common reasons the number moved; What to do the morning after; A worked example; When an increase deserves medical attention; Keep the response proportional; Sources and evidence,Source-linked explanation: The scale can change quickly because it measures everything in your body—not only fat.,"Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
