path,section,decision,reason,final indexability,replacement/redirect if relevant
bcaas-explained.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
best-breakfast-for-muscle-gain.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
best-fast-food-restaurants-for-your-goals.html,Journal,SUPPORT,Focused practical guidance that explains or supports a core GetMacros task.,indexable,
best-time-to-eat-carbs.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
beta-oxidation-explained.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
biochemistry-quiz.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
biotin-foods-lab-test-interference.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
biotin-thyroid-tests-supplement-interference.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
bloating-and-gas-food-guide.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
blog.html,Site,CORE,"Directly supports healthy fast-food discovery, macro tools, or site trust.",indexable,
blood-sugar-safety-scenario-game.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
body-recomposition-explained.html,Macros and goals,SUPPORT,Focused practical guidance that explains or supports a core GetMacros task.,indexable,
body-types-somatotypes-macros.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
bone-health-visit-planner.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
breastfeeding-nutrition-hydration-guide.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
budget-friendly-fruit-vegetables.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
budget-meal-builder.html,Tools,CORE,"Directly supports healthy fast-food discovery, macro tools, or site trust.",indexable,
budget-pantry-guides.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
build-a-plate-game.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
bulking-without-gaining-fat.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
caffeine-and-athletic-performance.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
caffeine-cutoff-before-bed.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
calcium-and-bone-health.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
calcium-vitamin-d-for-teens.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
calculators.html,Tools,CORE,"Directly supports healthy fast-food discovery, macro tools, or site trust.",indexable,
calories-vs-macros-what-matters-more.html,Journal,SUPPORT,Focused practical guidance that explains or supports a core GetMacros task.,indexable,
carb-cycling-explained.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
carb-loading-for-athletes.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
carbohydrate-counting-food-labels-diabetes.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
carbohydrate-label-portion-tool.html,Tools,CORE,"Directly supports healthy fast-food discovery, macro tools, or site trust.",indexable,
carbohydrate-quality-guide.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
carbohydrates-for-strength-training.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
carbs-quiz.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
carbs.html,Macros and goals,SUPPORT,Focused practical guidance that explains or supports a core GetMacros task.,indexable,
carnivore-diet-explained.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
catabolism-vs-anabolism.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
cava-healthy-meals-macros.html,Healthy fast food,CORE,"Directly supports healthy fast-food discovery, macro tools, or site trust.",indexable,
cell-biology-quiz.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
cell-membrane-transport.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
cheat-days-do-they-help-or-hurt.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
chewing-swallowing-barriers-nutrition.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
chick-fil-a-healthy-meals-macros.html,Healthy fast food,CORE,"Directly supports healthy fast-food discovery, macro tools, or site trust.",indexable,
children-teen-nutrition-guides.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
chipotle-healthy-meals-macros.html,Healthy fast food,CORE,"Directly supports healthy fast-food discovery, macro tools, or site trust.",indexable,
cholesterol-explained.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
choline-foods-and-functions.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
choosing-food-database-entry.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
chromium-foods-supplements-evidence.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
chronic-kidney-disease-nutrition-basics.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
cirrhosis-protein-meals-malnutrition.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
cirrhosis-sodium-ascites-fluid-guide.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
ckd-phosphorus-additives-labels-binders.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
ckd-potassium-foods-labs-medicines.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
ckd-sodium-fluid-swelling-guide.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
collagen-supplements-explained.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
common-nutrition-myths-debunked.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
complete-vs-incomplete-protein.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
constipation-food-and-routine-guide.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
contact.html,Trust,CORE,"Directly supports healthy fast-food discovery, macro tools, or site trust.",indexable,
cooking-fats-guide.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
copper-foods-and-functions.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
corrections.html,Trust,CORE,"Directly supports healthy fast-food discovery, macro tools, or site trust.",indexable,
correlation-vs-causation-in-nutrition.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
creatine-explained.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
cutting-bulking-maintenance-explained.html,Macros and goals,SUPPORT,Focused practical guidance that explains or supports a core GetMacros task.,indexable,
dairy-free-calcium-foods.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
dash-diet-explained.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
dash-diet-practical-beginners-guide.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
diabetes-alcohol-exercise-meal-timing.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
diabetes-blood-sugar-nutrition-guides.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
diabetes-plate-method-practical-guide.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
dialysis-nutrition-protein-fluid-basics.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
diarrhea-foods-hydration-recovery.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
diet-sorter-game.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
diets-explained.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
diets-quiz.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
digestion-quiz.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
digestive-health-guides.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
digestive-pattern-worksheet.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
digestive-symptoms-red-flags.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
do-elimination-diets-improve-performance.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
does-caffeine-dehydrate-you.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
does-creatine-cause-hair-loss.html,Journal,SUPPORT,Focused practical guidance that explains or supports a core GetMacros task.,indexable,
does-eating-fat-make-you-fat.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
dunkin-healthy-breakfast-macros.html,Healthy fast food,CORE,"Directly supports healthy fast-food discovery, macro tools, or site trust.",indexable,
eating-late-at-night-weight-gain.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
editorial-policy.html,Trust,CORE,"Directly supports healthy fast-food discovery, macro tools, or site trust.",indexable,
egg-yolks-cholesterol-myth.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
electrolytes-explained.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
electron-transport-chain-explained.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
emergency-pantry-meals.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
endometriosis-bloating-bowel-symptoms-low-fodmap.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
endometriosis-diet-evidence-balanced-eating.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
endometriosis-fertility-pregnancy-nutrition.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
endometriosis-heavy-periods-iron-anemia.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
endometriosis-nutrition-guides.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
endometriosis-nutrition-myth-game.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
endometriosis-pain-flare-nausea-low-appetite-foods.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
endometriosis-supplements-estrogen-detox-myths.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
endometriosis-visit-question-builder.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
energy-systems-explained.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
enzyme-kinetics-explained.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
enzymes-explained.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
es/index.html,Site,REMOVE,Partial translation footprint without equivalent translated tools and guides.,not indexable / removed,
everyday-nutrition-guides.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
exercise-physiology-quiz.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
extended-fasting-and-omad.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
family-meal-planning.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
famous-athlete-diets-fact-checked.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
fasted-cardio-fat-loss.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
fat-quiz.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
fat-soluble-vitamins-explained.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
fats.html,Macros and goals,SUPPORT,Focused practical guidance that explains or supports a core GetMacros task.,indexable,
fermented-foods-prebiotics-probiotics.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
fiber-and-gut-microbiome.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
fiber-benefits.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
fiber-without-the-hype.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
fish-mercury-pregnancy-breastfeeding.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
folate-vs-folic-acid.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
food-allergy-label-safety-guides.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
food-date-labels-safety-quality.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
food-labels-serving-size-traps.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
food-literacy-guides.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
food-measurement-guides.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
food-safety-for-older-adults.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
food-safety-storage-guides.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
food-storage-decision-helper.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
fr/index.html,Site,REMOVE,Partial translation footprint without equivalent translated tools and guides.,not indexable / removed,
freezer-meals-balanced-nutrition.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
freezer-safety-and-refreezing.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
fresh-vs-frozen-vs-canned.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
front-of-package-food-claims.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
glossary.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
gluten-free-labels-celiac-disease.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
glycemic-index-explained.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
glycolysis-explained.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
grocery-list-for-balanced-meals.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
gut-health-myth-game.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
gut-microbiome-myths.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
hashimotos-diet-gluten-selenium-myths.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
healthy-aging-nutrition-guides.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
healthy-breakfasts-for-teens.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
healthy-fast-food.html,Healthy fast food,CORE,"Directly supports healthy fast-food discovery, macro tools, or site trust.",indexable,
healthy-high-fat-foods.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
healthy-packed-lunch-ideas.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
heart-health-food-myth-game.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
heart-health-nutrition-guides.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
heavy-periods-blood-loss-iron-deficiency.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
high-fiber-foods-list.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
high-protein-breakfast-ideas.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
high-protein-foods-list.html,Protein and food,SUPPORT,Focused practical guidance that explains or supports a core GetMacros task.,indexable,
high-protein-snacks-real-food.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
homeostasis-explained.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
hot-flashes-food-caffeine-alcohol-triggers.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
hot-weather-exercise-fueling.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
how-digestion-works.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
how-industry-funding-shapes-nutrition-research.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
how-many-calories-should-i-eat-a-day.html,Macros and goals,SUPPORT,Focused practical guidance that explains or supports a core GetMacros task.,indexable,
how-many-carbs-per-day.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
how-much-fat-per-day.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
how-much-fiber-per-day.html,Nutrients to watch,SUPPORT,Focused practical guidance that explains or supports a core GetMacros task.,indexable,
how-much-protein-can-your-body-absorb.html,Journal,SUPPORT,Focused practical guidance that explains or supports a core GetMacros task.,indexable,
how-much-protein-per-day.html,Macros and goals,SUPPORT,Focused practical guidance that explains or supports a core GetMacros task.,indexable,
how-much-sodium-per-day.html,Nutrients to watch,SUPPORT,Focused practical guidance that explains or supports a core GetMacros task.,indexable,
how-much-water-should-you-drink-per-day.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
how-to-build-a-balanced-meal.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
how-to-calculate-macros-by-hand.html,Macros and goals,SUPPORT,Focused practical guidance that explains or supports a core GetMacros task.,indexable,
how-to-calculate-recipe-nutrition.html,Labels and recipes,SUPPORT,Focused practical guidance that explains or supports a core GetMacros task.,indexable,
how-to-compare-grocery-unit-prices.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
how-to-eat-out-without-wrecking-your-goal.html,Eating out,SUPPORT,Focused practical guidance that explains or supports a core GetMacros task.,indexable,
how-to-measure-sweat-rate.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
how-to-read-a-meta-analysis.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
how-to-read-a-nutrition-label.html,Labels and recipes,SUPPORT,Focused practical guidance that explains or supports a core GetMacros task.,indexable,
how-to-read-a-nutrition-study.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
how-to-read-food-allergen-labels.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
